number	ISO3	Name_sort	SOV_ISO3	Sovereign_name	Country	region_number	WHO_region	WHO_Country_Name	WHO_epi_region	Country - DoV	GAVI_co_financing_DoV	Country	GBD_2015	GBD_super_regions	un_subregion	WDIName	WDI_Country_Code
n1	ABW	Aruba	NL1	Netherlands	Netherlands	8	EURO	Netherlands	EUR A			Netherlands	Western Europe	High-income	Caribbean	Aruba	ABW
n2	AFG	Afghanistan	AFG	Afghanistan	Afghanistan	7	EMRO	Afghanistan	EMR D	Afghanistan	Low income countries	Afghanistan	North Africa and Middle East	North Africa and Middle East	Southern Asia	Afghanistan	AFG
n3	AGO	Angola	AGO	Angola	Angola	1	AFRO	Angola	AFR D	Angola	Graduating countries	Angola	Central Sub-Saharan Africa	Sub-Saharan Africa	Middle Africa	Angola	AGO
n4	AIA	Anguilla	GB1	United Kingdom	United Kingdom	8	EURO	United Kingdom	EUR A			United Kingdom	Western Europe	High-income	Caribbean		
n5	ALA	Aland	FI1	Finland	Finland	8	EURO	Finland	EUR A			Finland	Western Europe	High-income	Northern Europe		
n6	ALB	Albania	ALB	Albania	Albania	9	EURO	Albania	EUR B			Albania	Central Europe	"Central Europe, Eastern Europe, and Central Asia"	Southern Europe	Albania	ALB
n7	AND	Andorra	AND	Andorra	Andorra	8	EURO	Andorra	EUR A			Andorra	Western Europe	High-income	Southern Europe	Andorra	ADO
n8	ARE	United Arab Emirates	ARE	United Arab Emirates	United Arab Emirates	6	EMRO	United Arab Emirates	EMR B			United Arab Emirates	North Africa and Middle East	North Africa and Middle East	Western Asia	United Arab Emirates	ARE
n9	ARG	Argentina	ARG	Argentina	Argentina	4	PAHO	Argentina	AMR B			Argentina	Southern Latin America	Latin America and Caribbean	South America	Argentina	ARG
n10	ARM	Armenia	ARM	Armenia	Armenia	9	EURO	Armenia	EUR B	Armenia	Graduating countries	Armenia	Central Asia	"Central Europe, Eastern Europe, and Central Asia"	Western Asia	Armenia	ARM
n11	ASM	American Samoa	US1	United States of America	United States of America	3	PAHO	United States of America	AMR A			United States	High-income North America	High-income	Polynesia	American Samoa	ASM
n12	ATA	Antarctica	ATA	Antarctica											Antarctica		
n13	ATF	French Southern and Antarctic Lands	FR1	France	France	8	EURO	France	EUR A			France	Western Europe	High-income	Seven seas (open ocean)		
n14	ATG	Antigua and Barbuda	ATG	Antigua and Barbuda	Antigua And Barbuda	4	PAHO	Antigua and Barbuda	AMR B			Antigua and Barbuda	Caribbean	Latin America and Caribbean	Caribbean	Antigua and Barbuda	ATG
n15	AUS	Australia	AU1	Australia	Australia	13	WPRO	Australia	WPR A			Australia	Australasia	High-income	Australia and New Zealand	Australia	AUS
n16	AUT	Austria	AUT	Austria	Austria	8	EURO	Austria	EUR A			Austria	Western Europe	High-income	Western Europe	Austria	AUT
n17	AZE	Azerbaijan	AZE	Azerbaijan	Azerbaijan	9	EURO	Azerbaijan	EUR B	Azerbaijan	Graduating countries	Azerbaijan	Central Asia	"Central Europe, Eastern Europe, and Central Asia"	Western Asia	Azerbaijan	AZE
n18	BDI	Burundi	BDI	Burundi	Burundi	2	AFRO	Burundi	AFR E	Burundi	Low income countries	Burundi	Eastern Sub-Saharan Africa	Sub-Saharan Africa	Eastern Africa	Burundi	BDI
n19	BEL	Belgium	BEL	Belgium	Belgium	8	EURO	Belgium	EUR A			Belgium	Western Europe	High-income	Western Europe	Belgium	BEL
n20	BEN	Benin	BEN	Benin	Benin	1	AFRO	Benin	AFR D	Benin	Low income countries	Benin	Western Sub-Saharan Africa	Sub-Saharan Africa	Western Africa	Benin	BEN
n21	BFA	Burkina Faso	BFA	Burkina Faso	Burkina Faso	1	AFRO	Burkina Faso	AFR D	Burkina Faso	Low income countries	Burkina Faso	Western Sub-Saharan Africa	Sub-Saharan Africa	Western Africa	Burkina Faso	BFA
n22	BGD	Bangladesh	BGD	Bangladesh	Bangladesh	12	SEARO	Bangladesh	SEAR D	Bangladesh	Low income countries	Bangladesh	South Asia	South Asia	Southern Asia	Bangladesh	BGD
